z_dim,rep,best_penalty,num_detected,est_CP,true_CP,CE
1,1,0.1,3,"[np.int64(26), np.int64(161), np.int64(200)]","[100, 200]",1
1,2,0.01,5,"[np.int64(26), np.int64(100), np.int64(139), np.int64(200), np.int64(252)]","[100, 200]",3
1,3,0.05,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
1,4,0.01,4,"[np.int64(26), np.int64(147), np.int64(200), np.int64(256)]","[100, 200]",2
1,5,0.1,3,"[np.int64(29), np.int64(100), np.int64(200)]","[100, 200]",1
1,6,0.01,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
1,7,0.01,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
1,8,0.05,3,"[np.int64(29), np.int64(100), np.int64(200)]","[100, 200]",1
1,9,0.01,4,"[np.int64(26), np.int64(102), np.int64(148), np.int64(200)]","[100, 200]",2
1,10,0.05,4,"[np.int64(23), np.int64(100), np.int64(164), np.int64(200)]","[100, 200]",2
20,1,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
20,2,0.05,3,"[np.int64(100), np.int64(200), np.int64(272)]","[100, 200]",1
20,3,0.01,1,[np.int64(276)],"[100, 200]",1
20,4,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
20,5,1.0,1,[np.int64(200)],"[100, 200]",1
20,6,0.01,1,[np.int64(274)],"[100, 200]",1
20,7,0.1,2,"[np.int64(100), np.int64(200)]","[100, 200]",0
20,8,0.05,3,"[np.int64(100), np.int64(200), np.int64(272)]","[100, 200]",1
20,9,0.01,2,"[np.int64(200), np.int64(273)]","[100, 200]",0
20,10,0.05,3,"[np.int64(29), np.int64(100), np.int64(200)]","[100, 200]",1
